head,head_label,relation,tail,tail_label,description,chunk_id
异步电动机机械特性,Parameter,CAUSED_BY,起动电流,Parameter,机械特性决定了起动电流较大,船舶电气设备及系统::chunk_106
异步电动机机械特性,Parameter,CAUSED_BY,起动转矩,Parameter,机械特性决定了起动转矩不大,船舶电气设备及系统::chunk_106
甲板机械驱动电机,Equipment,HAS_COMPONENT,双鼠笼式转子,Component,可采用双鼠笼式转子,船舶电气设备及系统::chunk_106
深槽式转子异步电动机,Equipment,HAS_FAULT,趋肤效应,FaultCause,利用趋肤效应达到目的,船舶电气设备及系统::chunk_106
趋肤效应,FaultCause,REPAIRED_BY,限制起动电流,RepairMethod,趋肤效应用于限制起动电流,船舶电气设备及系统::chunk_106
较大容量的鼠笼式异步电动机,Equipment,REPAIRED_BY,Y-△换接降压起动,RepairMethod,可采用Y-△换接降压起动,船舶电气设备及系统::chunk_106
较大容量的鼠笼式异步电动机,Equipment,REPAIRED_BY,自耦变压器降压起动,RepairMethod,可采用自耦变压器降压起动,船舶电气设备及系统::chunk_106
船舶,System,RELATED_TO,Y-△换接降压起动,RepairMethod,船舶上应用较多,船舶电气设备及系统::chunk_106
降压起动,RepairMethod,HAS_FAULT,轻载起动,FaultPhenomenon,降压起动只适用于轻载起动,船舶电气设备及系统::chunk_106
交流异步电动机,Equipment,HAS_FAULT,制动运行状态,FaultPhenomenon,可进入制动运行状态,船舶电气设备及系统::chunk_106
制动运行状态,FaultPhenomenon,CAUSED_BY,转速,Parameter,由电磁转矩方向与转速方向相反引起,船舶电气设备及系统::chunk_106
电气制动,FaultPhenomenon,HAS_FAULT,能耗制动,FaultPhenomenon,包括能耗制动,船舶电气设备及系统::chunk_106
电气制动,FaultPhenomenon,HAS_FAULT,反接制动,FaultPhenomenon,包括反接制动,船舶电气设备及系统::chunk_106
电气制动,FaultPhenomenon,HAS_FAULT,回馈制动,FaultPhenomenon,包括回馈制动,船舶电气设备及系统::chunk_106
交流异步电动机,Equipment,REPAIRED_BY,变转差率的调速,RepairMethod,调速可从改变转差率考虑,船舶电气设备及系统::chunk_106
变转差率的调速,RepairMethod,REPAIRED_BY,改变电源电压值,RepairMethod,可通过改变电源电压值实现,船舶电气设备及系统::chunk_106
变转差率的调速,RepairMethod,REPAIRED_BY,绕线式转子串电阻,RepairMethod,可通过绕线式转子串电阻实现,船舶电气设备及系统::chunk_106
交流异步电动机,Equipment,HAS_FAULT,变极调速,FaultPhenomenon,调速可从改变磁极对数考虑,船舶电气设备及系统::chunk_106
变极调速,FaultPhenomenon,REPAIRED_BY,定子采用多套独立绕组,RepairMethod,变极调速的一种方式,船舶电气设备及系统::chunk_106
变极调速,FaultPhenomenon,REPAIRED_BY,可变极双速绕组,Component,变极调速的一种方式,船舶电气设备及系统::chunk_106
交流异步电动机,Equipment,REPAIRED_BY,变频调速,RepairMethod,调速可从改变电源频率考虑,船舶电气设备及系统::chunk_106
变频调速,RepairMethod,REPAIRED_BY,保持 U1/f1 为常数,RepairMethod,通常采用该方法进行,船舶电气设备及系统::chunk_106
保持 U1/f1 为常数,RepairMethod,RELATED_TO,主磁通,Parameter,以保证主磁通基本不变,船舶电气设备及系统::chunk_106
直流电动机,Equipment,REPAIRED_BY,电枢回路串电阻,RepairMethod,调速的一种方法,船舶电气设备及系统::chunk_106
直流电动机,Equipment,REPAIRED_BY,降低电枢电压,RepairMethod,调速的一种方法,船舶电气设备及系统::chunk_106
直流电动机,Equipment,REPAIRED_BY,减弱主磁极磁通,RepairMethod,调速的一种方法,船舶电气设备及系统::chunk_106
直流电动机,Equipment,HAS_FAULT,调速,FaultPhenomenon,直流电动机的调速可通过多种方法实现,船舶电气设备及系统::chunk_107
调速,FaultPhenomenon,DIAGNOSED_BY,电枢回路串电阻,RepairMethod,调速方法之一,船舶电气设备及系统::chunk_107
调速,FaultPhenomenon,DIAGNOSED_BY,降低电枢电压,RepairMethod,调速方法之一,船舶电气设备及系统::chunk_107
调速,FaultPhenomenon,DIAGNOSED_BY,减弱主磁极磁通,RepairMethod,调速方法之一,船舶电气设备及系统::chunk_107
电枢回路,System,HAS_COMPONENT,电阻,Component,电枢回路可串联电阻,船舶电气设备及系统::chunk_107
直流电动机,Equipment,HAS_PARAMETER,磁极主磁通,Parameter,直流电动机具有主磁极磁通参数,船舶电气设备及系统::chunk_107
接触器,Equipment,BELONGS_TO,控制电器,Equipment,接触器属于控制电器,船舶电气设备及系统::chunk_107
继电器,Equipment,BELONGS_TO,控制电器,Equipment,继电器属于控制电器,船舶电气设备及系统::chunk_107
起动器,Equipment,BELONGS_TO,控制电器,Equipment,起动器属于控制电器,船舶电气设备及系统::chunk_107
控制按钮,Equipment,BELONGS_TO,主令电器,Equipment,控制按钮属于主令电器,船舶电气设备及系统::chunk_107
主令开关,Equipment,BELONGS_TO,主令电器,Equipment,主令开关属于主令电器,船舶电气设备及系统::chunk_107
行程开关,Equipment,BELONGS_TO,主令电器,Equipment,行程开关属于主令电器,船舶电气设备及系统::chunk_107
转换开关,Equipment,BELONGS_TO,主令电器,Equipment,转换开关属于主令电器,船舶电气设备及系统::chunk_107
熔断器,Equipment,BELONGS_TO,保护电器,Equipment,熔断器属于保护电器,船舶电气设备及系统::chunk_107
热继电器,Equipment,BELONGS_TO,保护电器,Equipment,热继电器属于保护电器,船舶电气设备及系统::chunk_107
避雷器,Equipment,BELONGS_TO,保护电器,Equipment,避雷器属于保护电器,船舶电气设备及系统::chunk_107
电磁制动器,Equipment,BELONGS_TO,执行电器,Equipment,电磁制动器属于执行电器,船舶电气设备及系统::chunk_107
电磁铁,Equipment,BELONGS_TO,执行电器,Equipment,电磁铁属于执行电器,船舶电气设备及系统::chunk_107
电磁阀,Equipment,BELONGS_TO,执行电器,Equipment,电磁阀属于执行电器,船舶电气设备及系统::chunk_107
电磁离合器,Equipment,BELONGS_TO,执行电器,Equipment,电磁离合器属于执行电器,船舶电气设备及系统::chunk_107
交流接触器,Equipment,BELONGS_TO,电磁式电器,Equipment,交流接触器属于电磁式电器,船舶电气设备及系统::chunk_107
电磁式继电器,Equipment,BELONGS_TO,电磁式电器,Equipment,电磁式继电器属于电磁式电器,船舶电气设备及系统::chunk_107
刀开关,Equipment,BELONGS_TO,非电量控制电器,Equipment,刀开关属于非电量控制电器,船舶电气设备及系统::chunk_107
行程开关,Equipment,BELONGS_TO,非电量控制电器,Equipment,行程开关属于非电量控制电器,船舶电气设备及系统::chunk_107
控制按钮,Equipment,BELONGS_TO,非电量控制电器,Equipment,控制按钮属于非电量控制电器,船舶电气设备及系统::chunk_107
速度继电器,Equipment,BELONGS_TO,非电量控制电器,Equipment,速度继电器属于非电量控制电器,船舶电气设备及系统::chunk_107
压力继电器,Equipment,BELONGS_TO,非电量控制电器,Equipment,压力继电器属于非电量控制电器,船舶电气设备及系统::chunk_107
温度继电器,Equipment,BELONGS_TO,非电量控制电器,Equipment,温度继电器属于非电量控制电器,船舶电气设备及系统::chunk_107
接触器,Equipment,HAS_COMPONENT,触头系统,Component,接触器包含触头系统,船舶电气设备及系统::chunk_107
接触器,Equipment,HAS_COMPONENT,电磁机构,Component,接触器包含电磁机构,船舶电气设备及系统::chunk_107
接触器,Equipment,HAS_COMPONENT,灭弧装置,Component,接触器包含灭弧装置,船舶电气设备及系统::chunk_107
交流接触器,Equipment,HAS_COMPONENT,触头系统,System,交流接触器包含触头系统,船舶电气设备及系统::chunk_108
触头系统,System,HAS_COMPONENT,主触头,Component,触头系统包括主触头,船舶电气设备及系统::chunk_108
触头系统,System,HAS_COMPONENT,辅助触头,Component,触头系统包括辅助触头,船舶电气设备及系统::chunk_108
触头系统,System,HAS_COMPONENT,触头弹簧,Component,触头系统包括触头弹簧,船舶电气设备及系统::chunk_108
辅助触头,Component,HAS_COMPONENT,常开触头,Component,辅助触头提供有常开触头,船舶电气设备及系统::chunk_108
辅助触头,Component,HAS_COMPONENT,常闭触头,Component,辅助触头提供有常闭触头,船舶电气设备及系统::chunk_108
交流接触器,Equipment,HAS_COMPONENT,双断点桥式触头结构,Component,交流接触器一般采用双断点桥式触头结构,船舶电气设备及系统::chunk_108
直流接触器,Equipment,HAS_COMPONENT,单断点指式结构,Component,直流接触器一般采用单断点指式结构,船舶电气设备及系统::chunk_108
交流接触器,Equipment,HAS_COMPONENT,灭弧装置,System,交流接触器采用灭弧装置,船舶电气设备及系统::chunk_108
主触头,Component,HAS_FAULT,电弧,FaultPhenomenon,主触头在断开主电路时产生电弧,船舶电气设备及系统::chunk_108
灭弧装置,System,REPAIRED_BY,栅片灭弧,RepairMethod,灭弧装置采用栅片灭弧,船舶电气设备及系统::chunk_108
栅片灭弧,RepairMethod,HAS_COMPONENT,灭弧栅,Component,栅片灭弧由灭弧栅组成,船舶电气设备及系统::chunk_108
灭弧栅,Component,BELONGS_TO,陶瓷灭弧罩,Component,灭弧栅插装在陶瓷灭弧罩内,船舶电气设备及系统::chunk_108
电弧,FaultPhenomenon,DIAGNOSED_BY,电动力,Parameter,电弧在电动力作用下进入灭弧罩,船舶电气设备及系统::chunk_108
电弧,FaultPhenomenon,DIAGNOSED_BY,热空气流,Parameter,电弧在热空气流作用下进入灭弧罩,船舶电气设备及系统::chunk_108
灭弧栅,Component,REPAIRED_BY,短电弧,FaultPhenomenon,灭弧栅将电弧分隔成多段短电弧,船舶电气设备及系统::chunk_108
灭弧装置,System,REPAIRED_BY,磁吹灭弧装置,RepairMethod,灭弧装置包括磁吹灭弧装置,船舶电气设备及系统::chunk_108
磁吹灭弧装置,RepairMethod,HAS_COMPONENT,灭弧线圈,Component,磁吹灭弧装置包含灭弧线圈,船舶电气设备及系统::chunk_108
磁吹灭弧装置,RepairMethod,HAS_COMPONENT,灭弧角,Component,磁吹灭弧装置包含灭弧角,船舶电气设备及系统::chunk_108
串励磁吹灭弧装置,RepairMethod,HAS_PARAMETER,磁吹力,Parameter,串励磁吹灭弧装置产生磁吹力,船舶电气设备及系统::chunk_108
磁吹灭弧装置,RepairMethod,REPAIRED_BY,并接励磁,RepairMethod,磁吹灭弧装置可采用并接励磁,船舶电气设备及系统::chunk_108
磁吹灭弧装置,RepairMethod,REPAIRED_BY,永久磁铁励磁法,RepairMethod,磁吹灭弧装置可采用永久磁铁励磁法,船舶电气设备及系统::chunk_108
交流接触器,Equipment,HAS_COMPONENT,电磁机构,System,交流接触器的电磁机构,船舶电气设备及系统::chunk_108
电磁机构,System,HAS_COMPONENT,铁芯,Component,电磁机构由铁芯组成,船舶电气设备及系统::chunk_108
电磁机构,System,HAS_COMPONENT,吸引线圈,Component,电磁机构由吸引线圈组成,船舶电气设备及系统::chunk_108
电磁机构,System,HAS_COMPONENT,衔铁,Component,电磁机构由衔铁组成,船舶电气设备及系统::chunk_108
电磁机构,System,HAS_COMPONENT,E形电磁铁,Component,电磁机构包括E形电磁铁,船舶电气设备及系统::chunk_108
电磁机构,System,HAS_COMPONENT,反力弹簧,Component,电磁机构包括反力弹簧,船舶电气设备及系统::chunk_108
反力弹簧,Component,RELATED_TO,释放弹簧,Component,反力弹簧即释放弹簧,船舶电气设备及系统::chunk_108
直流接触器,Equipment,HAS_COMPONENT,转动拍合式结构,Component,直流接触器电磁机构一般采用转动拍合式结构,船舶电气设备及系统::chunk_108
直流接触器,Equipment,HAS_COMPONENT,电磁机构,Component,直流接触器包含电磁机构,船舶电气设备及系统::chunk_109
吸引线圈,Component,HAS_PARAMETER,线圈中的电流I,Parameter,吸引线圈通电后产生线圈电流,船舶电气设备及系统::chunk_109
电磁吸力 F,Parameter,CAUSED_BY,磁通 Φ,Parameter,电磁吸力与磁通的平方成正比,船舶电气设备及系统::chunk_109
交流接触器,Equipment,HAS_COMPONENT,交流电压线圈,Component,交流接触器的吸引线圈是交流电压线圈,船舶电气设备及系统::chunk_109
交流接触器,Equipment,BELONGS_TO,恒磁链系统,System,交流接触器电磁机构属恒磁链系统,船舶电气设备及系统::chunk_109
恒磁链系统,System,HAS_PARAMETER,线圈匝数 N,Parameter,恒磁链系统中NΦ为常数,船舶电气设备及系统::chunk_109
恒磁链系统,System,HAS_PARAMETER,磁通 Φ,Parameter,恒磁链系统中NΦ为常数,船舶电气设备及系统::chunk_109
线圈中的电流I,Parameter,RELATED_TO,气隙 δ,Parameter,恒磁链系统中线圈电流正比于气隙,船舶电气设备及系统::chunk_109
线圈发热,FaultPhenomenon,CAUSED_BY,衔铁卡住,FaultPhenomenon,衔铁卡住可能造成线圈发热,船舶电气设备及系统::chunk_109
线圈发热,FaultPhenomenon,CAUSED_BY,衔铁吸合不紧密,FaultPhenomenon,衔铁吸合不紧密可能造成线圈发热,船舶电气设备及系统::chunk_109
线圈发热,FaultPhenomenon,CAUSED_BY,操作频率过高,FaultPhenomenon,操作频率过高可能造成线圈发热,船舶电气设备及系统::chunk_109
线圈烧毁,FaultPhenomenon,CAUSED_BY,线圈发热,FaultPhenomenon,线圈发热以致烧坏,船舶电气设备及系统::chunk_109
直流接触器,Equipment,HAS_COMPONENT,直流电压线圈,Component,直流接触器的吸引线圈是直流电压线圈,船舶电气设备及系统::chunk_109
直流接触器,Equipment,BELONGS_TO,恒磁势系统,System,直流接触器电磁机构属恒磁势系统,船舶电气设备及系统::chunk_109
恒磁势系统,System,HAS_PARAMETER,线圈中的电流I,Parameter,恒磁势系统中IN=常数，电流恒定,船舶电气设备及系统::chunk_109
磁通 Φ,Parameter,RELATED_TO,气隙 δ,Parameter,恒磁势系统中磁通反比于气隙,船舶电气设备及系统::chunk_109
电磁吸力 F,Parameter,RELATED_TO,气隙 δ,Parameter,恒磁势系统中电磁吸力反比于气隙的平方,船舶电气设备及系统::chunk_109
直流接触器,Equipment,HAS_COMPONENT,经济电阻,Component,直流接触器衔铁吸合后在线圈中串入经济电阻,船舶电气设备及系统::chunk_109
接触器,Equipment,HAS_PARAMETER,返回系数 Kf,Parameter,返回系数是接触器的主要技术参数,船舶电气设备及系统::chunk_109
返回系数 Kf,Parameter,HAS_PARAMETER,动作值 Xx,Parameter,返回系数定义涉及动作值,船舶电气设备及系统::chunk_109
返回系数 Kf,Parameter,HAS_PARAMETER,释放值 Xf,Parameter,返回系数定义涉及释放值,船舶电气设备及系统::chunk_109
返回系数 Kf,Parameter,RELATED_TO,电磁机构,Component,返回系数衡量电磁机构的灵敏度,船舶电气设备及系统::chunk_110
动作值,Parameter,DIAGNOSED_BY,反力弹簧,Component,动作值可通过调整反力弹簧来改变,船舶电气设备及系统::chunk_110
释放值,Parameter,DIAGNOSED_BY,反力弹簧,Component,释放值可通过调整反力弹簧来改变,船舶电气设备及系统::chunk_110
动作值,Parameter,DIAGNOSED_BY,非磁性垫片,Component,动作值可通过调整非磁性垫片来改变,船舶电气设备及系统::chunk_110
释放值,Parameter,DIAGNOSED_BY,非磁性垫片,Component,释放值可通过调整非磁性垫片来改变,船舶电气设备及系统::chunk_110
动作值,Parameter,DIAGNOSED_BY,气隙,Component,动作值可通过调整气隙来改变,船舶电气设备及系统::chunk_110
释放值,Parameter,DIAGNOSED_BY,气隙,Component,释放值可通过调整气隙来改变,船舶电气设备及系统::chunk_110
返回系数 Kf,Parameter,CAUSED_BY,非磁性垫片,Component,增加非磁性垫片厚度可提高返回系数,船舶电气设备及系统::chunk_110
返回系数 Kf,Parameter,CAUSED_BY,气隙,Component,增加释放后气隙会使返回系数下降,船舶电气设备及系统::chunk_110
返回系数 Kf,Parameter,CAUSED_BY,反力弹簧,Component,增加反力弹簧预压力会使返回系数有所减小,船舶电气设备及系统::chunk_110
交流接触器,Equipment,HAS_COMPONENT,铁芯线圈,Component,交流接触器包含线圈铁芯,船舶电气设备及系统::chunk_110
铁芯线圈,Component,HAS_COMPONENT,硅钢片,Component,线圈铁芯由硅钢片叠成,船舶电气设备及系统::chunk_110
硅钢片,Component,REPAIRED_BY,铁损,Parameter,使用硅钢片是为了减少铁损,船舶电气设备及系统::chunk_110
交流接触器,Equipment,HAS_COMPONENT,吸引线圈,Component,交流接触器包含吸引线圈,船舶电气设备及系统::chunk_110
直流接触器,Equipment,HAS_COMPONENT,吸引线圈,Component,直流接触器包含吸引线圈,船舶电气设备及系统::chunk_110
交流接触器,Equipment,HAS_COMPONENT,短路环,Component,交流接触器电磁铁芯上装有短路环,船舶电气设备及系统::chunk_110
振动,FaultPhenomenon,CAUSED_BY,脉动磁通,Parameter,脉动磁通使吸力过零，导致振动,船舶电气设备及系统::chunk_110
噪声,FaultPhenomenon,CAUSED_BY,脉动磁通,Parameter,脉动磁通使吸力过零，导致噪声,船舶电气设备及系统::chunk_110
短路环,Component,REPAIRED_BY,振动,FaultPhenomenon,加装短路环可消除振动,船舶电气设备及系统::chunk_110
短路环,Component,REPAIRED_BY,噪声,FaultPhenomenon,加装短路环可消除噪声,船舶电气设备及系统::chunk_110
按钮开关,Equipment,BELONGS_TO,主令电器,Equipment,按钮开关是主令电器的一种,船舶电气设备及系统::chunk_110
按钮开关,Equipment,HAS_COMPONENT,静触头,Component,按钮开关包含静触头,船舶电气设备及系统::chunk_110
按钮开关,Equipment,HAS_COMPONENT,动触头,Component,按钮开关包含动触头,船舶电气设备及系统::chunk_110
按钮开关,Equipment,HAS_COMPONENT,常闭触头,Component,按钮开关包含常闭触头,船舶电气设备及系统::chunk_110
按钮开关,Equipment,HAS_COMPONENT,常开触头,Component,按钮开关包含常开触头,船舶电气设备及系统::chunk_110
万能转换开关,Equipment,BELONGS_TO,主令电器,Equipment,万能转换开关是主令电器的一种,船舶电气设备及系统::chunk_110
万能转换开关,Equipment,HAS_COMPONENT,触头系统,Component,万能转换开关包含触头系统,船舶电气设备及系统::chunk_110
万能转换开关,Equipment,HAS_COMPONENT,操作机构,Component,万能转换开关包含操作机构,船舶电气设备及系统::chunk_110
万能转换开关,Equipment,HAS_COMPONENT,转轴,Component,万能转换开关包含转轴,船舶电气设备及系统::chunk_110
万能转换开关,Equipment,HAS_COMPONENT,手柄,Component,万能转换开关包含手柄,船舶电气设备及系统::chunk_110
万能转换开关,Equipment,HAS_COMPONENT,齿轮啮合机构,Component,万能转换开关包含齿轮啮合机构,船舶电气设备及系统::chunk_110
万能转换开关,Equipment,HAS_PARAMETER,触头闭合表,Parameter,各触头的闭合规律由触头闭合表来表示,船舶电气设备及系统::chunk_111
万能转换开关,Equipment,RELATED_TO,自复位式转换开关,Equipment,转换开关有自复位式和定位式两种操作方式,船舶电气设备及系统::chunk_111
万能转换开关,Equipment,RELATED_TO,定位式转换开关,Equipment,转换开关有自复位式和定位式两种操作方式,船舶电气设备及系统::chunk_111
行程开关,Equipment,RELATED_TO,按钮式行程开关,Equipment,常用形式有按钮式和转臂式两种,船舶电气设备及系统::chunk_111
行程开关,Equipment,RELATED_TO,转臂式行程开关,Equipment,常用形式有按钮式和转臂式两种,船舶电气设备及系统::chunk_111
按钮式行程开关,Equipment,HAS_COMPONENT,推杆,Component,依靠机械运动部件碰撞行程开关的推杆,船舶电气设备及系统::chunk_111
转臂式行程开关,Equipment,HAS_COMPONENT,转臂,Component,当运动机械的撞块推动转臂上的滚轮,船舶电气设备及系统::chunk_111
转臂式行程开关,Equipment,HAS_COMPONENT,滚轮,Component,当运动机械的撞块推动转臂上的滚轮,船舶电气设备及系统::chunk_111
转臂式行程开关,Equipment,HAS_COMPONENT,盘形弹簧,Component,盘形弹簧带动下转臂向右转动,船舶电气设备及系统::chunk_111
转臂式行程开关,Equipment,HAS_COMPONENT,压缩弹簧,Component,压缩弹簧被压缩储能,船舶电气设备及系统::chunk_111
转臂式行程开关,Equipment,HAS_COMPONENT,恢复弹簧,Component,在恢复弹簧的作用下触头恢复原态,船舶电气设备及系统::chunk_111
主令控制器,Equipment,HAS_COMPONENT,触头装置,Component,一般由触头装置和带有凸轮的轴组成,船舶电气设备及系统::chunk_111
主令控制器,Equipment,HAS_COMPONENT,带有凸轮的轴,Component,一般由触头装置和带有凸轮的轴组成,船舶电气设备及系统::chunk_111
熔断器,Equipment,RELATED_TO,管式熔断器,Equipment,船上常用的有管式和螺旋式,船舶电气设备及系统::chunk_111
熔断器,Equipment,RELATED_TO,螺旋式熔断器,Equipment,船上常用的有管式和螺旋式,船舶电气设备及系统::chunk_111
熔断器,Equipment,HAS_COMPONENT,熔片,Component,熔断器中的熔片或熔丝用易熔合金或良导体制成,船舶电气设备及系统::chunk_111
熔断器,Equipment,HAS_COMPONENT,熔丝,Component,熔断器中的熔片或熔丝用易熔合金或良导体制成,船舶电气设备及系统::chunk_111
熔断器,Equipment,REPAIRED_BY,短路,FaultPhenomenon,一旦发生短路或严重过载则立即熔断,船舶电气设备及系统::chunk_111
熔断器,Equipment,REPAIRED_BY,严重过载,FaultPhenomenon,一旦发生短路或严重过载则立即熔断,船舶电气设备及系统::chunk_111
熔断器,Equipment,HAS_FAULT,短路,FaultPhenomenon,熔断器用于保护短路故障,船舶电气设备及系统::chunk_112
熔断器,Equipment,HAS_FAULT,严重过载,FaultPhenomenon,熔断器用于保护严重过载故障,船舶电气设备及系统::chunk_112
熔片,Component,HAS_COMPONENT,熔体材料,Component,熔片由熔体材料制成,船舶电气设备及系统::chunk_112
熔丝,Component,HAS_COMPONENT,熔体材料,Component,熔丝由熔体材料制成,船舶电气设备及系统::chunk_112
熔体材料,Component,HAS_FAULT,缓熔,FaultPhenomenon,铅、锡等材料适用于缓熔,船舶电气设备及系统::chunk_112
熔体材料,Component,HAS_FAULT,中熔,FaultPhenomenon,锌、铝等材料适用于中熔,船舶电气设备及系统::chunk_112
熔体材料,Component,HAS_FAULT,速熔,FaultPhenomenon,铜、银等材料适用于速熔,船舶电气设备及系统::chunk_112
熔断器,Equipment,HAS_PARAMETER,保护特性,Parameter,熔断器具有保护特性,船舶电气设备及系统::chunk_112
熔断器,Equipment,HAS_PARAMETER,熔断器的额定电流,Parameter,熔断器有额定电流,船舶电气设备及系统::chunk_112
熔体的额定电流,Parameter,RELATED_TO,电动机额定电流,Parameter,熔体额定电流根据电动机额定电流计算,船舶电气设备及系统::chunk_112
继电器,Equipment,HAS_COMPONENT,电磁式继电器,Equipment,继电器的一种类型是电磁式继电器,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,触头,Component,电磁式继电器有触头,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,铁芯,Component,电磁式继电器有铁芯,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,短路环,Component,交流继电器铁芯有短路环,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,电压线圈,Component,电磁式继电器可装电压线圈,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,电流线圈,Component,电磁式继电器可装电流线圈,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,吸引线圈,Component,电磁式继电器有吸引线圈,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,衔铁,Component,电磁式继电器有衔铁,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,欠电压继电器,Equipment,电磁式继电器可构成欠电压继电器,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_COMPONENT,过电流继电器,Equipment,电磁式继电器可构成过电流继电器,船舶电气设备及系统::chunk_112
过电流继电器,Equipment,BELONGS_TO,控制电路,System,过电流继电器用于控制电路,船舶电气设备及系统::chunk_112
欠电压继电器,Equipment,BELONGS_TO,控制电路,System,欠电压继电器用于控制电路,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,BELONGS_TO,恒磁链系统,System,带有交流电压线圈的继电器属恒磁链系统,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,BELONGS_TO,恒磁势系统,System,带有交流电流线圈或直流电流、电压线圈的继电器属恒磁势系统,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_PARAMETER,吸力特性曲线,Parameter,电磁式继电器有吸力特性曲线,船舶电气设备及系统::chunk_112
电磁式继电器,Equipment,HAS_PARAMETER,电流特性曲线,Parameter,电磁式继电器有电流特性曲线,船舶电气设备及系统::chunk_112
继电器,Equipment,HAS_COMPONENT,交流电压线圈,Component,继电器带有交流电压线圈,船舶电气设备及系统::chunk_113
继电器,Equipment,HAS_COMPONENT,交流电流线圈,Component,继电器带有交流电流线圈,船舶电气设备及系统::chunk_113
继电器,Equipment,HAS_COMPONENT,直流电流线圈,Component,继电器带有直流电流线圈,船舶电气设备及系统::chunk_113
继电器,Equipment,HAS_COMPONENT,直流电压线圈,Component,继电器带有直流电压线圈,船舶电气设备及系统::chunk_113
交流电压线圈,Component,BELONGS_TO,恒磁链系统,System,交流电压线圈属于恒磁链系统,船舶电气设备及系统::chunk_113
交流电流线圈,Component,BELONGS_TO,恒磁势系统,System,交流电流线圈属于恒磁势系统,船舶电气设备及系统::chunk_113
直流电流线圈,Component,BELONGS_TO,恒磁势系统,System,直流电流线圈属于恒磁势系统,船舶电气设备及系统::chunk_113
直流电压线圈,Component,BELONGS_TO,恒磁势系统,System,直流电压线圈属于恒磁势系统,船舶电气设备及系统::chunk_113
继电器,Equipment,HAS_PARAMETER,继电器返回系数,Parameter,继电器具有返回系数参数,船舶电气设备及系统::chunk_113
普通继电器,Equipment,HAS_PARAMETER,继电器返回系数,Parameter,普通继电器的返回系数在0.1~0.4之间,船舶电气设备及系统::chunk_113
高返回系数继电器,Equipment,HAS_PARAMETER,继电器返回系数,Parameter,高返回系数继电器的返回系数可达0.8,船舶电气设备及系统::chunk_113
电磁式继电器,Equipment,HAS_PARAMETER,动作值,Parameter,电磁式继电器有动作值,船舶电气设备及系统::chunk_113
电磁式继电器,Equipment,HAS_PARAMETER,释放值,Parameter,电磁式继电器有释放值,船舶电气设备及系统::chunk_113
时间继电器,Equipment,HAS_FAULT,通电延时型,FaultPhenomenon,时间继电器有通电延时型,船舶电气设备及系统::chunk_113
时间继电器,Equipment,HAS_FAULT,断电延时型,FaultPhenomenon,时间继电器有断电延时型,船舶电气设备及系统::chunk_113
时间继电器,Equipment,HAS_COMPONENT,延时触头,Component,时间继电器具有延时触头,船舶电气设备及系统::chunk_113
半导体式时间继电器,Equipment,BELONGS_TO,时间继电器,Equipment,半导体时间继电器是时间继电器的一种,船舶电气设备及系统::chunk_113
JSJ系列半导体时间继电器,Equipment,BELONGS_TO,半导体式时间继电器,Equipment,JSJ系列是半导体时间继电器的一种,船舶电气设备及系统::chunk_113
JSJ系列半导体时间继电器,Equipment,HAS_COMPONENT,滤波电容,Component,JSJ系列继电器包含滤波电容,船舶电气设备及系统::chunk_113
JSJ系列半导体时间继电器,Equipment,HAS_COMPONENT,电容 C*{4},Component,JSJ系列继电器包含电容C4,船舶电气设备及系统::chunk_113
JSJ系列半导体时间继电器,Equipment,HAS_COMPONENT,VT*{1} 管,Component,JSJ系列继电器包含VT1管,船舶电气设备及系统::chunk_113
JSJ系列半导体时间继电器,Equipment,HAS_COMPONENT,高灵敏继电器KA,Equipment,JSJ系列继电器包含高灵敏继电器KA,船舶电气设备及系统::chunk_113
JSJ系列半导体时间继电器,Equipment,HAS_COMPONENT,电位器 R_w1,Component,JSJ系列继电器包含电位器Rw1,船舶电气设备及系统::chunk_113
空气阻尼式时间继电器,Equipment,HAS_COMPONENT,电磁机构,Component,空气阻尼式时间继电器包含电磁机构,船舶电气设备及系统::chunk_113
空气阻尼式时间继电器,Equipment,HAS_COMPONENT,工作触头,Component,空气阻尼式时间继电器包含工作触头,船舶电气设备及系统::chunk_113
工作触头,Component,RELATED_TO,微动开关,Equipment,工作触头即微动开关,船舶电气设备及系统::chunk_113
空气阻尼式时间继电器,Equipment,HAS_COMPONENT,气室,Component,空气阻尼式时间继电器包含气室,船舶电气设备及系统::chunk_113
